Date,City,Average Temperature,Country,Language,Climate,Population from csv,population from API,population diff
2023-12-20 23:28:22.636597,Abidjan,26.63,Ivory Coast,French,Tropical,4765000,3677115,1087885
2023-12-20 23:28:22.738217,Addis Ababa,13.75,Ethiopia,Amharic,Subtropical,3200000,2757729,442271
2023-12-20 23:28:22.805006,Albuquerque,8.63,United States,English,Desert,560218,545852,14366
2023-12-20 23:28:22.870695,Austin,18.64,United States,English,Mild,978908,790390,188518
2023-12-20 23:28:22.972621,Bari,11.3,Italy,Italian,Mediterranean,325766,320150,5616
2023-12-20 23:28:23.038425,Barrie,-1.05,Canada,English,Temp,165113,182041,16928
2023-12-20 23:28:23.105409,Beijing,-11.62,China,Mandarin,Continental,21542000,1000000,20542000
2023-12-20 23:28:23.171191,Berlin,2.67,Germany,German,Temperate,3659491,1000000,2659491
2023-12-20 23:28:23.254142,Birmingham,10.17,United Kingdom,English,Temperate,1141816,212237,929579
2023-12-20 23:28:23.362006,Bologna,6.66,Italy,Italian,Temperate,400897,984342,583445
2023-12-20 23:28:23.474433,Bordeaux,10.76,France,French,Temperate,257068,231844,25224
2023-12-20 23:28:23.541803,Boston,1.71,United States,English,Temp,694583,617594,76989
2023-12-20 23:28:23.667010,Bristol,0.01,United Kingdom,English,Temperate,617280,548285,68995
2023-12-20 23:28:23.766582,Buenos Aires,22.55,Argentina,Spanish,Various,3075646,1000000,2075646
2023-12-20 23:28:23.869187,Burlington,3.3,Canada,English,Temp,203922,448734,244812
2023-12-20 23:28:23.939378,Burnaby,6.9,Canada,English,Mild,232755,202799,29956
2023-12-20 23:28:24.002618,Cairo,15.27,Egypt,Arabic,Desert,9750000,7734614,2015386
2023-12-20 23:28:24.065286,Calgary,-1.31,Canada,English,Temp,1336000,1019942,316058
2023-12-20 23:28:24.169713,Cape Town,18.64,South Africa,English,Mediterranean,433688,3433441,2999753
2023-12-20 23:28:24.311518,Cardiff,10.77,United Kingdom,English,Temperate,447287,302139,145148
2023-12-20 23:28:24.418175,Casablanca,14.06,Morocco,Arabic,Subtropical,3359818,3144909,214909
2023-12-20 23:28:24.584653,Catania,11.09,Italy,Italian,Mediterranean,315601,313110,2491
2023-12-20 23:28:24.645190,Charlotte,6.93,United States,English,Temp,885708,731424,154284
2023-12-20 23:28:24.744870,Charlottetown,-0.78,Canada,English,Temp,36875,42402,5527
2023-12-20 23:28:24.808087,Chicago,5.96,United States,English,Temp,2716000,2695598,20402
2023-12-20 23:28:24.931115,Ciudad Juarez,14.92,Mexico,Spanish,Desert,1512354,1512354,0
2023-12-20 23:28:25.048667,Cologne,8.23,Germany,German,Temperate,1085664,963395,122269
2023-12-20 23:28:25.113189,Columbus,5.35,United States,English,Temp,892533,787033,105500
2023-12-20 23:28:25.223725,Dallas,16.77,United States,English,Temp,1343573,2368139,1024566
2023-12-20 23:28:25.292005,Denver,8.94,United States,English,Mild,727211,600158,127053
2023-12-20 23:28:25.351679,Detroit,4.29,United States,English,Temp,673104,713777,40673
2023-12-20 23:28:25.455983,Dortmund,7.4,Germany,German,Temperate,586181,588462,2281
2023-12-20 23:28:25.575410,Durban,23.38,South Africa,English,Subtropical,595061,3120282,2525221
2023-12-20 23:28:25.689482,Düsseldorf,8.31,Germany,German,Temperate,620754,15000,605754
2023-12-20 23:28:25.754644,Edinburgh,9.86,United Kingdom,English,Temperate,488100,435791,52309
2023-12-20 23:28:25.821001,Edmonton,-0.95,Canada,English,Temp,981280,712391,268889
