Date,City,Average Temperature,Country,Language,Climate,Population from csv,population from API,population diff
2023-12-20 23:33:37.094275,Abidjan,25.94,Ivory Coast,French,Tropical,4765000,0,4765000
2023-12-20 23:33:37.604510,Addis Ababa,19.37,Ethiopia,Amharic,Subtropical,3200000,16065,3183935
2023-12-20 23:33:38.187048,Albuquerque,8.52,United States,English,Desert,560218,545852,14366
2023-12-20 23:33:38.629526,Austin,18.44,United States,English,Mild,978908,790390,188518
2023-12-20 23:33:39.077434,Bari,11.47,Italy,Italian,Mediterranean,325766,316532,9234
2023-12-20 23:33:39.653735,Barrie,-0.92,Canada,English,Temp,165113,182041,16928
2023-12-20 23:33:40.324335,Beijing,-11.72,China,Mandarin,Continental,21542000,1000000,20542000
2023-12-20 23:33:40.932254,Berlin,2.6,Germany,German,Temperate,3659491,329078,3330413
2023-12-20 23:33:41.472602,Birmingham,10.02,United Kingdom,English,Temperate,1141816,0,1141816
2023-12-20 23:33:42.421703,Bologna,6.5,Italy,Italian,Temperate,400897,371217,29680
2023-12-20 23:33:42.964242,Bordeaux,10.81,France,French,Temperate,257068,231844,25224
2023-12-20 23:33:43.439322,Boston,1.69,United States,English,Temp,694583,617594,76989
2023-12-20 23:33:44.072599,Bristol,10.49,United Kingdom,English,Temperate,617280,430713,186567
2023-12-20 23:33:44.676828,Buenos Aires,22.56,Argentina,Spanish,Various,3075646,0,3075646
2023-12-20 23:33:45.212607,Burlington,2.34,Canada,English,Temp,203922,0,203922
2023-12-20 23:33:45.687951,Burnaby,6.59,Canada,English,Mild,232755,202799,29956
2023-12-20 23:33:46.316401,Cairo,15.26,Egypt,Arabic,Desert,9750000,0,9750000
2023-12-20 23:33:46.855138,Calgary,-1.4,Canada,English,Temp,1336000,1019942,316058
2023-12-20 23:33:47.299890,Cape Town,18.59,South Africa,English,Mediterranean,433688,0,433688
2023-12-20 23:33:47.692769,Cardiff,10.76,United Kingdom,English,Temperate,447287,302139,145148
2023-12-20 23:33:48.420703,Casablanca,13.97,Morocco,Arabic,Subtropical,3359818,3144909,214909
2023-12-20 23:33:49.015973,Catania,10.96,Italy,Italian,Mediterranean,315601,313110,2491
2023-12-20 23:33:49.412509,Charlotte,6.87,United States,English,Temp,885708,731424,154284
2023-12-20 23:33:49.864994,Charlottetown,-0.81,Canada,English,Temp,36875,42402,5527
2023-12-20 23:33:50.260000,Chicago,5.89,United States,English,Temp,2716000,2695598,20402
2023-12-20 23:33:50.822011,Ciudad Juarez,14.87,Mexico,Spanish,Desert,1512354,0,1512354
2023-12-20 23:33:51.257152,Cologne,8.22,Germany,German,Temperate,1085664,0,1085664
2023-12-20 23:33:51.697097,Columbus,5.33,United States,English,Temp,892533,787033,105500
2023-12-20 23:33:52.133642,Dallas,16.73,United States,English,Temp,1343573,1197816,145757
2023-12-20 23:33:52.589463,Denver,8.87,United States,English,Mild,727211,600158,127053
2023-12-20 23:33:53.083517,Detroit,4.25,United States,English,Temp,673104,713777,40673
2023-12-20 23:33:53.545429,Dortmund,7.34,Germany,German,Temperate,586181,588462,2281
2023-12-20 23:33:54.208791,Durban,23.3,South Africa,English,Subtropical,595061,3120282,2525221
2023-12-20 23:33:54.700432,Düsseldorf,8.24,Germany,German,Temperate,620754,15000,605754
2023-12-20 23:33:55.228801,Edinburgh,9.82,United Kingdom,English,Temperate,488100,0,488100
2023-12-20 23:33:55.761654,Edmonton,-1.4,Canada,English,Temp,981280,712391,268889
2023-12-20 23:33:56.204319,El Paso,14.69,United States,English,Desert,682669,649121,33548
2023-12-20 23:33:56.719503,Essen,7.46,Germany,German,Temperate,583109,0,583109
2023-12-20 23:33:57.152375,Florence,8.74,Italy,Italian,Mediterranean,382808,371517,11291
2023-12-20 23:33:57.583330,Fort Worth,17.11,United States,English,Temp,909585,1809034,899449
2023-12-20 23:33:58.009602,Frankfurt,7.32,Germany,German,Temperate,753056,650000,103056
2023-12-20 23:33:58.436731,Fredericton,-3.05,Canada,English,Temp,58231,0,58231
2023-12-20 23:33:58.879055,Fresno,16.06,United States,English,Mild,540768,494665,46103
2023-12-20 23:33:59.306957,Fukuoka,2.93,Japan,Japanese,Humid subtropical,1606000,0,1606000
2023-12-20 23:33:59.736583,Genoa,10.43,Italy,Italian,Mediterranean,586180,601951,15771
